,description,amount,name,unitName,foodPortions_amount,gramWeight,name
117,"Flour, rice, glutinous","[0.0, 11.8, 1.07, 0.22, 1.16, 0.044, 40.7, 10.0, 0.17, 0.34, 21.2, 0.995, 63.0, 80.0, 6.0, 1.34, 1.12, 2.0, 0.053, 6.69, 80.1, 358.0, 1500.0]","['Riboflavin', 'Water', 'Nitrogen', 'Ash', 'Total lipid (fat)', 'Vitamin B-6', 'Molybdenum, Mo', 'Calcium, Ca', 'Copper, Cu', 'Iron, Fe', 'Magnesium, Mg', 'Manganese, Mn', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Niacin', 'Selenium, Se', 'Thiamin', 'Protein', 'Carbohydrate, by difference', 'Energy', 'Energy']","['mg', 'g', 'g', 'g', 'g', 'mg', 'µg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'µg', 'mg', 'g', 'g', 'kcal', 'kJ']",[],[],[]
118,"Flour, pastry, unenriched, unbleached","[0.0, 11.9, 1.4, 0.53, 1.64, 0.065, 59.1, 17.0, 0.159, 0.87, 22.4, 0.635, 102.0, 142.0, 1.0, 0.74, 0.988, 5.0, 0.146, 8.75, 77.2, 358.0, 1500.0]","['Riboflavin', 'Water', 'Nitrogen', 'Ash', 'Total lipid (fat)', 'Vitamin B-6', 'Molybdenum, Mo', 'Calcium, Ca', 'Copper, Cu', 'Iron, Fe', 'Magnesium, Mg', 'Manganese, Mn', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Niacin', 'Selenium, Se', 'Thiamin', 'Protein', 'Carbohydrate, by difference', 'Energy', 'Energy']","['mg', 'g', 'g', 'g', 'g', 'mg', 'µg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'µg', 'mg', 'g', 'g', 'kcal', 'kJ']",[],[],[]
119,"Onions, white, raw","[0.59, 2.52, 0.03, 2.63, 0.0, 0.0, 1.2, 0.14, 0.13, 91.3, 0.0, 21.0, 0.047, 0.15, 9.3, 0.099, 29.0, 141.0, 2.0, 0.12, 0.0, 5.76, 0.89, 7.68, 35.0, 148.0]","['Sucrose', 'Fructose', 'Galactose', 'Glucose', 'Lactose', 'Maltose', 'Fiber, total dietary', 'Nitrogen', 'Total lipid (fat)', 'Water', 'Ash', 'Calcium, Ca', 'Copper, Cu', 'Iron, Fe', 'Magnesium, Mg', 'Manganese, Mn', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Selenium, Se', 'Sugars, Total', 'Protein', 'Carbohydrate, by difference', 'Energy', 'Energy']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'µg', 'g', 'g', 'g', 'kcal', 'kJ']",[],[],[]
120,"Bananas, overripe, raw","[8.0, 0.0, 0.0, 1.0, 0.0, 0.0, 10.0, 9.0, 0.0, 0.67, 0.22, 0.12, 0.0, 0.57, 0.0, 0.04, 25.0, 0.234, 78.3, 9.7, 0.0, 0.2, 0.0, 1.7, 279.0, 290.0, 2.02, 0.73, 20.1, 1.0, 85.0, 357.0, 6.7, 7.0, 0.0, 0.0, 2.1, 0.41, 0.0, 15.8, 18.0]","['Carotene, alpha', 'Cryptoxanthin, alpha', 'Cryptoxanthin, beta', 'cis-beta-Carotene', 'cis-Lutein/Zeaxanthin', 'cis-Lycopene', 'Carotene, beta', 'trans-beta-Carotene', 'trans-Lycopene', 'Ash', 'Total lipid (fat)', 'Nitrogen', 'Biotin', 'Niacin', 'Riboflavin', 'Thiamin', 'Folate, total', 'Vitamin B-6', 'Water', 'Vitamin C, total ascorbic acid', 'Vitamin K (Menaquinone-4)', 'Vitamin K (phylloquinone)', 'Vitamin K (Dihydrophylloquinone)', 'Fiber, total dietary', 'Citric acid', 'Malic acid', 'Total dietary fiber (AOAC 2011.25)', 'Protein', 'Carbohydrate, by difference', 'Vitamin A, RAE', 'Energy', 'Energy', 'Fructose', 'Glucose', 'Lactose', 'Maltose', 'Sucrose', 'Starch', 'Galactose', 'Sugars, Total', 'Carbohydrate, by summation']","['µg', 'µg', 'µg', 'µg', 'µg', 'µg', 'µg', 'µg', 'µg', 'g', 'g', 'g', 'µg', 'mg', 'mg', 'mg', 'µg', 'mg', 'g', 'mg', 'µg', 'µg', 'µg', 'g', 'mg', 'mg', 'g', 'g', 'g', 'µg', 'kcal', 'kJ', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']",[1.0],[110.0],['Banana']
121,"Bananas, ripe and slightly ripe, raw","[408.0, 1.0, 23.0, 97.0, 0.0, 12.3, 0.056, 0.0, 14.0, 8.0, 7.0, 1.7, 0.0, 28.0, 22.0, 0.0, 0.101, 0.258, 0.74, 0.7, 5.0, 326.0, 0.16, 75.3, 0.29, 0.662, 0.209, 0.0, 0.12, 0.0, 0.1, 0.0, 1.0, 0.0, 0.0, 7.0, 0.0, 0.0, 341.0, 369.0, 0.0, 4.62, 0.0, 6.09, 5.55, 0.0, 0.0, 4.18, 3.66, 0.0, 15.8, 21.2]","['Energy', 'Vitamin A, RAE', 'Carbohydrate, by difference', 'Energy', 'Cryptoxanthin, beta', 'Vitamin C, total ascorbic acid', 'Thiamin', 'Riboflavin', 'Folate, total', 'Carotene, beta', 'Carotene, alpha', 'Fiber, total dietary', 'Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Sodium, Na', 'Copper, Cu', 'Manganese, Mn', 'Protein', 'Ash', 'Calcium, Ca', 'Potassium, K', 'Zinc, Zn', 'Water', 'Total lipid (fat)', 'Niacin', 'Vitamin B-6', 'Selenium, Se', 'Nitrogen', 'Vitamin K (Dihydrophylloquinone)', 'Vitamin K (phylloquinone)', 'Cryptoxanthin, alpha', 'cis-beta-Carotene', 'cis-Lutein/Zeaxanthin', 'cis-Lycopene', 'trans-beta-Carotene', 'trans-Lycopene', 'Biotin', 'Citric acid', 'Malic acid', 'Iodine, I', 'Total dietary fiber (AOAC 2011.25)', 'Vitamin K (Menaquinone-4)', 'Fructose', 'Glucose', 'Lactose', 'Maltose', 'Sucrose', 'Starch', 'Galactose', 'Sugars, Total', 'Carbohydrate, by summation']","['kJ', 'µg', 'g', 'kcal', 'µg', 'mg', 'mg', 'mg', 'µg', 'µg', 'µg', 'g', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'g', 'mg', 'mg', 'mg', 'g', 'g', 'mg', 'mg', 'µg', 'g', 'µg', 'µg', 'µg', 'µg', 'µg', 'µg', 'µg', 'µg', 'µg', 'mg', 'mg', 'µg', 'g', 'µg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']",[1.0],[115.0],['Banana']
122,"Apples, red delicious, with skin, raw","[0.0, 4.7, 9.18, 95.3, 0.0, 0.02, 0.024, 0.009, 0.029, 0.066, 0.09, 12.2, 0.021, 0.0, 84.7, 0.03, 0.212, 0.148, 1.32, 3.09, 7.81, 0.0, 0.0, 2.04, 4.66, 0.188, 14.8, 61.8, 55.6, 14.3, 12.2]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Thiamin', 'Manganese, Mn', 'Riboflavin', 'Niacin', 'Total Sugars', 'Vitamin B-6', 'Folate, total', 'Water', 'Nitrogen', 'Total lipid (fat)', 'Ash', 'Sucrose', 'Glucose', 'Fructose', 'Lactose', 'Maltose', 'Fiber, total dietary', 'Calcium, Ca', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater General Factors)', 'Energy (Atwater Specific Factors)', 'Carbohydrate, by summation', 'Sugars, Total']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'µg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'g', 'g', 'kcal', 'kcal', 'g', 'g']",[],[],[]
123,"Apples, fuji, with skin, raw","[0.015, 4.67, 9.78, 104.0, 1.01, 0.017, 0.033, 0.033, 0.006, 0.068, 0.091, 13.3, 0.035, 0.0, 83.6, 0.024, 0.162, 0.428, 1.7, 3.04, 8.59, 0.0, 0.0, 2.08, 5.98, 0.148, 15.7, 64.7, 58.2, 15.4, 13.3]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Manganese, Mn', 'Thiamin', 'Riboflavin', 'Niacin', 'Total Sugars', 'Vitamin B-6', 'Folate, total', 'Water', 'Nitrogen', 'Total lipid (fat)', 'Ash', 'Sucrose', 'Glucose', 'Fructose', 'Lactose', 'Maltose', 'Fiber, total dietary', 'Calcium, Ca', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater General Factors)', 'Energy (Atwater Specific Factors)', 'Carbohydrate, by summation', 'Sugars, Total']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'µg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'g', 'g', 'kcal', 'kcal', 'g', 'g']",[],[],[]
124,"Apples, gala, with skin, raw","[0.06, 4.95, 8.44, 106.0, 0.279, 0.024, 0.034, 0.011, 0.04, 0.069, 0.089, 11.8, 0.032, 0.812, 84.6, 0.021, 0.15, 0.299, 2.06, 2.01, 7.76, 0.0, 0.0, 2.11, 6.64, 0.133, 14.8, 61.0, 54.9, 13.9, 11.8]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Thiamin', 'Manganese, Mn', 'Riboflavin', 'Niacin', 'Total Sugars', 'Vitamin B-6', 'Folate, total', 'Water', 'Nitrogen', 'Total lipid (fat)', 'Ash', 'Sucrose', 'Glucose', 'Fructose', 'Lactose', 'Maltose', 'Fiber, total dietary', 'Calcium, Ca', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater General Factors)', 'Energy (Atwater Specific Factors)', 'Carbohydrate, by summation', 'Sugars, Total']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'µg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'g', 'g', 'kcal', 'kcal', 'g', 'g']",[],[],[]
125,"Apples, granny smith, with skin, raw","[0.07, 5.06, 9.86, 116.0, 0.0, 0.023, 0.035, 0.039, 0.017, 0.075, 0.11, 10.6, 0.028, 0.0, 85.1, 0.043, 0.138, 0.314, 1.61, 2.68, 6.36, 0.0, 0.0, 2.51, 5.48, 0.266, 14.1, 58.9, 53.0, 13.2, 10.7]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Manganese, Mn', 'Thiamin', 'Riboflavin', 'Niacin', 'Total Sugars', 'Vitamin B-6', 'Folate, total', 'Water', 'Nitrogen', 'Total lipid (fat)', 'Ash', 'Sucrose', 'Glucose', 'Fructose', 'Lactose', 'Maltose', 'Fiber, total dietary', 'Calcium, Ca', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater General Factors)', 'Energy (Atwater Specific Factors)', 'Carbohydrate, by summation', 'Sugars, Total']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'µg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'g', 'g', 'kcal', 'kcal', 'g', 'g']",[],[],[]
126,"Apples, honeycrisp, with skin, raw","[0.0, 4.15, 7.85, 98.0, 0.138, 0.018, 0.023, 0.04, 0.009, 0.074, 0.074, 12.4, 0.033, 0.0, 85.0, 0.016, 0.1, 0.086, 1.31, 2.31, 8.75, 0.0, 0.0, 1.72, 3.87, 0.102, 14.7, 60.0, 54.0, 14.1, 12.4]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Manganese, Mn', 'Thiamin', 'Riboflavin', 'Niacin', 'Total Sugars', 'Vitamin B-6', 'Folate, total', 'Water', 'Nitrogen', 'Total lipid (fat)', 'Ash', 'Sucrose', 'Glucose', 'Fructose', 'Lactose', 'Maltose', 'Fiber, total dietary', 'Calcium, Ca', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater General Factors)', 'Energy (Atwater Specific Factors)', 'Carbohydrate, by summation', 'Sugars, Total']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'µg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'g', 'g', 'kcal', 'kcal', 'g', 'g']",[],[],[]
127,"Oil, peanut","[0.0, 0.0, 0.001, 8.23, 0.0, 17.8, 33.0, 0.0, 0.0, 122.0, 0.14, 57.1, 19.9, 3.58, 16.4, 0.011, 0.072, 1.48, 0.0, 0.034, 0.0, 0.139, 0.0, 0.021, 0.0, 0.013, 0.017, 0.075, 55.4, 19.6, 0.0, 0.055, 0.0, 0.001, 0.0, 0.0, 0.0, 15.2, 0.0, 0.021, 0.0, 0.0, 0.0, 1.41, 0.0, 0.133, 0.003, 0.0, 0.013, 0.438, 13.4, 0.486, 0.0, 0.0, 0.172, 0.0, 16.2, 0.0, 0.004, 0.0, 0.004, 0.006, 0.017, 0.04, 8.26, 2.58, 1.14, 0.003, 0.0, 2.58, 0.0, 0.318, 0.001, 0.001, 0.0, 93.4, 0.136, 0.034, 0.0, 0.055, 19.6, 0.139, 0.318, 0.001, 0.003, 0.001, 0.0, 0.0, 0.017, 4.26]","['PUFA 22:5 n-3 (DPA)', 'TFA 14:1 t', 'PUFA 22:4', 'Delta-7-Stigmastenol', 'Stigmastadiene', 'Stigmasterol', 'Campesterol', 'PUFA 20:3 n-9', 'Brassicasterol', 'Beta-sitosterol', 'Campestanol', 'Fatty acids, total monounsaturated', 'Fatty acids, total polyunsaturated', 'Beta-sitostanol', 'Delta-5-avenasterol', 'SFA 15:0', 'SFA 17:0', 'SFA 24:0', 'TFA 16:1 t', 'TFA 18:1 t', 'TFA 22:1 t', 'TFA 18:2 t not further defined', 'Vitamin K (Menaquinone-4)', 'PUFA 18:2 CLAs', 'Vitamin K (Dihydrophylloquinone)', 'MUFA 24:1 c', 'PUFA 20:2 n-6 c,c', 'MUFA 16:1 c', 'MUFA 18:1 c', 'PUFA 18:2 n-6 c,c', 'PUFA 18:3 n-6 c,c,c', 'MUFA 17:1', 'MUFA 15:1', 'PUFA 22:2', 'SFA 11:0', 'SFA 5:0', 'SFA 7:0', 'Vitamin E (alpha-tocopherol)', 'SFA 9:0', 'SFA 21:0', 'SFA 23:0', 'MUFA 12:1', 'MUFA 14:1 c', 'MUFA 20:1 c', 'TFA 20:1 t', 'MUFA 22:1 n-9', 'MUFA 22:1 n-11', 'TFA 18:3 t', 'PUFA 22:3', 'Tocopherol, beta', 'Tocopherol, gamma', 'Tocopherol, delta', 'Tocotrienol, alpha', 'Tocotrienol, beta', 'Fatty acids, total trans', 'Tocotrienol, gamma', 'Fatty acids, total saturated', 'Tocotrienol, delta', 'SFA 4:0', 'SFA 6:0', 'SFA 8:0', 'SFA 10:0', 'SFA 12:0', 'SFA 14:0', 'SFA 16:0', 'SFA 18:0', 'SFA 20:0', 'PUFA 20:4', 'PUFA 22:6 n-3 (DHA)', 'SFA 22:0', 'PUFA 18:4', 'PUFA 18:3 n-3 c,c,c (ALA)', 'PUFA 20:3 n-3', 'PUFA 20:5 n-3 (EPA)', 'PUFA 20:3 n-6', 'Total fat (NLEA)', 'MUFA 22:1 c', 'Fatty acids, total trans-monoenoic', 'Fatty acids, total trans-polyenoic', 'MUFA 17:1 c', 'PUFA 18:2 c', 'TFA 18:2 t', 'PUFA 18:3 c', 'PUFA 20:3 c', 'PUFA 20:4c', 'PUFA 20:5c', 'PUFA 22:5 c', 'PUFA 22:6 c', 'PUFA 20:2 c', 'Vitamin K (phylloquinone)']","['g', 'g', 'g', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'mg', 'mg', 'g', 'g', 'mg', 'mg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'µg', 'g', 'µg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'g', 'mg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'µg']",[],[],[]
128,"Oil, sunflower","[0.0, 0.0, 0.001, 59.1, 29.2, 0.0, 33.9, 0.0, 0.0, 205.0, 0.042, 63.4, 20.7, 3.36, 11.4, 0.018, 0.029, 0.31, 0.0, 0.035, 0.0, 0.082, 0.0, 0.029, 0.012, 0.0, 0.005, 0.122, 62.9, 20.5, 0.0, 0.039, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 68.5, 0.013, 0.0, 0.0, 0.0, 0.256, 0.0, 0.006, 0.0, 0.0, 2.54, 0.004, 0.926, 0.0, 0.0, 0.0, 0.116, 8.99, 0.0, 0.004, 0.0, 0.0, 0.001, 0.005, 0.004, 0.049, 4.48, 2.99, 0.274, 0.002, 0.0, 0.82, 0.163, 0.0, 0.0, 0.002, 0.0, 93.2, 0.006, 0.035, 0.0, 0.039, 20.6, 0.082, 0.163, 0.0, 0.002, 0.002, 0.0, 0.0, 0.005, 6.92]","['PUFA 22:5 n-3 (DPA)', 'TFA 14:1 t', 'PUFA 22:4', 'Delta-7-Stigmastenol', 'Stigmasterol', 'Stigmastadiene', 'Campesterol', 'PUFA 20:3 n-9', 'Brassicasterol', 'Beta-sitosterol', 'Campestanol', 'Fatty acids, total monounsaturated', 'Fatty acids, total polyunsaturated', 'Beta-sitostanol', 'Delta-5-avenasterol', 'SFA 15:0', 'SFA 17:0', 'SFA 24:0', 'TFA 16:1 t', 'TFA 18:1 t', 'TFA 22:1 t', 'TFA 18:2 t not further defined', 'Vitamin K (Menaquinone-4)', 'PUFA 18:2 CLAs', 'MUFA 24:1 c', 'Vitamin K (Dihydrophylloquinone)', 'PUFA 20:2 n-6 c,c', 'MUFA 16:1 c', 'MUFA 18:1 c', 'PUFA 18:2 n-6 c,c', 'PUFA 18:3 n-6 c,c,c', 'MUFA 17:1', 'MUFA 15:1', 'PUFA 22:2', 'SFA 11:0', 'SFA 5:0', 'SFA 7:0', 'SFA 9:0', 'Vitamin E (alpha-tocopherol)', 'SFA 21:0', 'SFA 23:0', 'MUFA 12:1', 'MUFA 14:1 c', 'MUFA 20:1 c', 'TFA 20:1 t', 'MUFA 22:1 n-9', 'MUFA 22:1 n-11', 'TFA 18:3 t', 'Tocopherol, beta', 'PUFA 22:3', 'Tocopherol, gamma', 'Tocopherol, delta', 'Tocotrienol, alpha', 'Tocotrienol, beta', 'Fatty acids, total trans', 'Fatty acids, total saturated', 'Tocotrienol, gamma', 'SFA 4:0', 'Tocotrienol, delta', 'SFA 6:0', 'SFA 8:0', 'SFA 10:0', 'SFA 12:0', 'SFA 14:0', 'SFA 16:0', 'SFA 18:0', 'SFA 20:0', 'PUFA 20:4', 'PUFA 22:6 n-3 (DHA)', 'SFA 22:0', 'PUFA 18:3 n-3 c,c,c (ALA)', 'PUFA 18:4', 'PUFA 20:3 n-3', 'PUFA 20:5 n-3 (EPA)', 'PUFA 20:3 n-6', 'Total fat (NLEA)', 'MUFA 22:1 c', 'Fatty acids, total trans-monoenoic', 'Fatty acids, total trans-polyenoic', 'MUFA 17:1 c', 'PUFA 18:2 c', 'TFA 18:2 t', 'PUFA 18:3 c', 'PUFA 20:3 c', 'PUFA 20:4c', 'PUFA 20:5c', 'PUFA 22:5 c', 'PUFA 22:6 c', 'PUFA 20:2 c', 'Vitamin K (phylloquinone)']","['g', 'g', 'g', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'mg', 'mg', 'g', 'g', 'mg', 'mg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'µg', 'g', 'g', 'µg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'g', 'mg', 'mg', 'mg', 'mg', 'g', 'g', 'mg', 'g', 'mg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'µg']",[],[],[]
129,"Oil, safflower","[0.0, 0.0, 0.0, 50.8, 0.0, 16.9, 35.5, 0.0, 0.0, 148.0, 1.09, 71.6, 13.8, 11.8, 14.0, 0.016, 0.028, 0.189, 0.0, 0.04, 0.0, 0.091, 0.021, 0.0, 0.0, 0.174, 0.004, 0.092, 71.0, 13.6, 0.0, 0.041, 0.0, 0.007, 0.0, 0.0, 0.0, 0.0, 46.0, 0.01, 0.0, 0.0, 0.0, 0.323, 0.0, 0.012, 0.0, 0.0, 1.24, 0.006, 3.52, 0.655, 0.0, 0.129, 0.0, 7.65, 0.0, 0.004, 0.0, 0.0, 0.002, 0.004, 0.004, 0.074, 4.66, 1.96, 0.4, 0.0, 0.0, 0.308, 0.15, 0.0, 0.0, 0.0, 0.001, 93.2, 0.012, 0.041, 0.0, 0.041, 13.6, 0.091, 0.15, 0.0, 0.0, 0.001, 0.0, 0.0, 0.004, 5.34]","['PUFA 22:5 n-3 (DPA)', 'TFA 14:1 t', 'PUFA 22:4', 'Delta-7-Stigmastenol', 'Stigmastadiene', 'Stigmasterol', 'Campesterol', 'PUFA 20:3 n-9', 'Brassicasterol', 'Beta-sitosterol', 'Campestanol', 'Fatty acids, total monounsaturated', 'Fatty acids, total polyunsaturated', 'Beta-sitostanol', 'Delta-5-avenasterol', 'SFA 15:0', 'SFA 17:0', 'SFA 24:0', 'TFA 16:1 t', 'TFA 18:1 t', 'TFA 22:1 t', 'TFA 18:2 t not further defined', 'PUFA 18:2 CLAs', 'Vitamin K (Menaquinone-4)', 'Vitamin K (Dihydrophylloquinone)', 'MUFA 24:1 c', 'PUFA 20:2 n-6 c,c', 'MUFA 16:1 c', 'MUFA 18:1 c', 'PUFA 18:2 n-6 c,c', 'PUFA 18:3 n-6 c,c,c', 'MUFA 17:1', 'MUFA 15:1', 'PUFA 22:2', 'SFA 11:0', 'SFA 5:0', 'SFA 7:0', 'SFA 9:0', 'Vitamin E (alpha-tocopherol)', 'SFA 21:0', 'SFA 23:0', 'MUFA 12:1', 'MUFA 14:1 c', 'MUFA 20:1 c', 'TFA 20:1 t', 'MUFA 22:1 n-9', 'MUFA 22:1 n-11', 'TFA 18:3 t', 'Tocopherol, beta', 'PUFA 22:3', 'Tocopherol, gamma', 'Tocopherol, delta', 'Tocotrienol, alpha', 'Fatty acids, total trans', 'Tocotrienol, beta', 'Fatty acids, total saturated', 'Tocotrienol, gamma', 'SFA 4:0', 'Tocotrienol, delta', 'SFA 6:0', 'SFA 8:0', 'SFA 10:0', 'SFA 12:0', 'SFA 14:0', 'SFA 16:0', 'SFA 18:0', 'SFA 20:0', 'PUFA 20:4', 'PUFA 22:6 n-3 (DHA)', 'SFA 22:0', 'PUFA 18:3 n-3 c,c,c (ALA)', 'PUFA 18:4', 'PUFA 20:3 n-3', 'PUFA 20:3 n-6', 'PUFA 20:5 n-3 (EPA)', 'Total fat (NLEA)', 'MUFA 22:1 c', 'Fatty acids, total trans-monoenoic', 'Fatty acids, total trans-polyenoic', 'MUFA 17:1 c', 'PUFA 18:2 c', 'TFA 18:2 t', 'PUFA 18:3 c', 'PUFA 20:3 c', 'PUFA 20:4c', 'PUFA 20:5c', 'PUFA 22:5 c', 'PUFA 22:6 c', 'PUFA 20:2 c', 'Vitamin K (phylloquinone)']","['g', 'g', 'g', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'mg', 'mg', 'g', 'g', 'mg', 'mg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'µg', 'µg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'g', 'mg', 'mg', 'mg', 'g', 'mg', 'g', 'mg', 'g', 'mg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'µg']",[],[],[]
